/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS;

 id  |                     name                      | status  |        species        |                type                |   gender   |                   origin                   |                  location                  |                           image                           | episode_count 
-----+-----------------------------------------------+---------+-----------------------+------------------------------------+------------+--------------------------------------------+--------------------------------------------+-----------------------------------------------------------+---------------
   1 | Rick Sanchez                                  | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/1.jpeg   |            51
   2 | Morty Smith                                   | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/2.jpeg   |            51
   3 | Summer Smith                                  | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/3.jpeg   |            42
   4 | Beth Smith                                    | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/4.jpeg   |            42
   5 | Jerry Smith                                   | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/5.jpeg   |            39
   6 | Abadango Cluster Princess                     | Alive   | Alien                 |                                    | Female     | Abadango                                   | Abadango                                   | https://rickandmortyapi.com/api/character/avatar/6.jpeg   |             1
   7 | Abradolf Lincler                              | unknown | Human                 | Genetic experiment                 | Male       | Earth (Replacement Dimension)              | Testicle Monster Dimension                 | https://rickandmortyapi.com/api/character/avatar/7.jpeg   |             2
   8 | Adjudicator Rick                              | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/8.jpeg   |             1
   9 | Agency Director                               | Dead    | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/9.jpeg   |             1
  10 | Alan Rails                                    | Dead    | Human                 | Superhuman (Ghost trains summoner) | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/10.jpeg  |             1
  11 | Albert Einstein                               | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/11.jpeg  |             1
