/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS WHERE status like 'unknown';

 id  |                     name                      | status  |        species        |             type             |   gender   |            origin             |           location            |                           image                           | episode_count
-----+-----------------------------------------------+---------+-----------------------+------------------------------+------------+-------------------------------+-------------------------------+-----------------------------------------------------------+---------------
   7 | Abradolf Lincler                              | unknown | Human                 | Genetic experiment           | Male       | Earth (Replacement Dimension) | Testicle Monster Dimension    | https://rickandmortyapi.com/api/character/avatar/7.jpeg   |             2
  13 | Alien Googah                                  | unknown | Alien                 |                              | unknown    | unknown                       | Earth (Replacement Dimension) | https://rickandmortyapi.com/api/character/avatar/13.jpeg  |             1
  14 | Alien Morty                                   | unknown | Alien                 |                              | Male       | unknown                       | Citadel of Ricks              | https://rickandmortyapi.com/api/character/avatar/14.jpeg  |             1
  15 | Alien Rick                                    | unknown | Alien                 |                              | Male       | unknown                       | Citadel of Ricks              | https://rickandmortyapi.com/api/character/avatar/15.jpeg  |             1
  19 | Antenna Rick                                  | unknown | Human                 | Human with antennae          | Male       | unknown                       | unknown                       | https://rickandmortyapi.com/api/character/avatar/19.jpeg  |             1
  20 | Ants in my Eyes Johnson                       | unknown | Human                 | Human with ants in his eyes  | Male       | unknown                       | Interdimensional Cable        | https://rickandmortyapi.com/api/character/avatar/20.jpeg  |             1
  21 | Aqua Morty                                    | unknown | Humanoid              | Fish-Person                  | Male       | unknown                       | Citadel of Ricks              | https://rickandmortyapi.com/api/character/avatar/21.jpeg  |             2
  22 | Aqua Rick                                     | unknown | Humanoid              | Fish-Person                  | Male       | unknown                       | Citadel of Ricks              | https://rickandmortyapi.com/api/character/avatar/22.jpeg  |             3
  23 | Arcade Alien                                  | unknown | Alien                 |                              | Male       | unknown                       | Immortality Field Resort      | https://rickandmortyapi.com/api/character/avatar/23.jpeg  |             5
  42 | Big Head Morty                                | unknown | Human                 | Human with giant head        | Male       | unknown                       | Citadel of Ricks              | https://rickandmortyapi.com/api/character/avatar/42.jpeg  |             1
