2026-03-04 16:33:30 The files belonging to this database system will be owned by user "postgres".
2026-03-04 16:33:30 This user must also own the server process.
2026-03-04 16:33:30 
2026-03-04 16:33:30 The database cluster will be initialized with locale "en_US.utf8".
2026-03-04 16:33:30 The default database encoding has accordingly been set to "UTF8".
2026-03-04 16:33:30 The default text search configuration will be set to "english".
2026-03-04 16:33:30 
2026-03-04 16:33:30 Data page checksums are disabled.
2026-03-04 16:33:30 
2026-03-04 16:33:30 fixing permissions on existing directory /var/lib/postgresql/data ... ok
2026-03-04 16:33:30 creating subdirectories ... ok
2026-03-04 16:33:30 selecting dynamic shared memory implementation ... posix
2026-03-04 16:33:30 selecting default "max_connections" ... 100
2026-03-04 16:33:30 selecting default "shared_buffers" ... 128MB
2026-03-04 16:33:30 selecting default time zone ... UTC
2026-03-04 16:33:30 creating configuration files ... ok
2026-03-04 16:33:30 running bootstrap script ... ok
2026-03-04 16:33:31 performing post-bootstrap initialization ... ok
2026-03-04 16:33:31 syncing data to disk ... ok
2026-03-04 16:33:31 
2026-03-04 16:33:31 
2026-03-04 16:33:31 Success. You can now start the database server using:
2026-03-04 16:33:31 
2026-03-04 16:33:31     pg_ctl -D /var/lib/postgresql/data -l logfile start
2026-03-04 16:33:31 
2026-03-04 16:33:31 waiting for server to start....2026-03-04 19:33:31.919 UTC [41] LOG:  starting PostgreSQL 17.8 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2026-03-04 16:33:31 2026-03-04 19:33:31.921 UTC [41] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2026-03-04 16:33:31 2026-03-04 19:33:31.928 UTC [44] LOG:  database system was shut down at 2026-03-04 19:33:31 UTC
2026-03-04 16:33:31 2026-03-04 19:33:31.933 UTC [41] LOG:  database system is ready to accept connections
2026-03-04 16:33:32  done
2026-03-04 16:33:32 server started
2026-03-04 16:33:32 
2026-03-04 16:33:32 /usr/local/bin/docker-entrypoint.sh: running /docker-entrypoint-initdb.d/data.sql
2026-03-04 16:33:32 CREATE TABLE
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
2026-03-04 16:33:32 INSERT 0 1
